Ramo,origin,development,Pagados,Pendientes,Incurridos,Cantidad
Daño parcial,2000-01-01,6.0,10142890.459395654,3263416.769838647,13406307.229234261,285.5753235834546
Daño parcial,2000-01-01,7.0,7047093.275850288,14299452.268229479,21346545.544079762,14.95228503165659
Daño parcial,2000-01-01,8.0,1329236.7246780163,133206.1874149117,1462442.9120929886,519.8067104042611
Daño parcial,2000-01-01,9.0,516942.8507453548,-25312056.308955394,-24795113.458210085,72.27717386148706
Daño parcial,2000-01-01,10.0,124585.73803967815,419026.12497363694,543611.8630133615,32.311087664794655
Daño parcial,2000-01-01,11.0,358681.1850935384,-236249.13962383431,122432.04546970846,207.35299214646463
Daño parcial,2000-01-01,12.0,110302.72960146685,-76207.93111936783,34094.79848209902,50.25803327282996
Daño parcial,2000-01-01,13.0,-1480.0064670864767,-9012.573381646696,-10492.579848761601,22.20009700629715
Daño parcial,2000-01-01,14.0,168377.63028445098,-240454.48949664965,-72076.8592121712,12.41265243527099
Daño parcial,2000-01-01,15.0,31891.6517176181,219520.87861441344,251412.53033203623,40.54412214429631
Daño parcial,2000-01-01,16.0,6519.921203042638,15750.817691187116,22270.738894215407,23.853370255034044
Daño parcial,2000-01-01,17.0,-3410.8921055636238,75132.17494329413,71721.28283772312,9.508419967731744
Daño parcial,2000-01-01,18.0,3088.180983032348,19136.047840335435,22224.22882336926,7.606357101064898
Daño parcial,2000-01-01,19.0,5583.2988559153755,26336.936920765376,31920.235776688263,1.6980835936482286
Daño parcial,2000-01-01,20.0,9582.009359695187,-59008.98731042588,-49426.97795073134,2.221812173278188
Daño parcial,2001-01-01,1.0,1579312797.262859,309752642.461542,1889065439.7244022,2871031.604944361
Daño parcial,2001-01-01,2.0,182802146.68520865,-123054234.10149772,59747912.583710335,48243.517662820996
Daño parcial,2001-01-01,3.0,4015831.8063516137,9578210.777570724,13594042.58392241,1675.2911733556323
Daño parcial,2001-01-01,4.0,8435651.807723824,3440858.3122049384,11876510.119928807,323.3471700642317
Daño parcial,2001-01-01,5.0,2686914.282454814,6724906.680279298,9411820.962734016,618.7465344308182
Daño parcial,2001-01-01,6.0,578889.2282601083,4583667.833309422,5162557.0615695305,44.856855094969774
Daño parcial,2001-01-01,7.0,241762.10100902183,-421967.52180687705,-180205.42079784308,896.6665754473504
Daño parcial,2001-01-01,8.0,4169842.1797429924,-28206200.106021374,-24036357.926278327,96.3695651486494
Daño parcial,2001-01-01,9.0,1140637.1850452826,-1272527.2752660837,-131890.09022086175,64.62217532958931
Daño parcial,2001-01-01,10.0,2080822.1491930254,-489005.2739470107,1591816.8752460706,179.07758412649218
Daño parcial,2001-01-01,11.0,1013029.7332528839,-77180.1727730303,935849.5604798506,75.38704990924495
Daño parcial,2001-01-01,12.0,14698.388226560488,-250537.1967558358,-235838.80852930632,29.600129341729534
Daño parcial,2001-01-01,13.0,168843.10475077364,-158575.35865631752,10267.746094446915,18.618978652906485
Daño parcial,2001-01-01,14.0,29066.89204768589,8940.58709464933,38007.47914235956,45.61213741233335
Daño parcial,2001-01-01,15.0,5009.207753557149,-18733.204574173764,-13723.996820630962,19.8778085458617
